id_canton;canton;id_provincia
1;SAN JOSÉ;1
2;ESCAZÚ;1
3;DESAMPARADOS;1
4;PURISCAL;1
5;TARRAZÃš;1
6;ASERRÍ;1
7;MORA;1
8;GOICOCHEA;1
9;SANTA ANA;1
10;ALAJUELITA;1
11;VÁSQUEZ DE CORONADO;1
12;ACOSTA;1
13;TIBÁS;1
14;MORAVIA;1
15;MONTES DE OCA;1
16;TURRUBARES;1
17;DOTA;1
18;CURRIDABAT;1
19;PÉREZ ZELEDÓN;1
20;LEÓN CORTÉZ CASTRO;1
21;ALAJUELA;2
22;SAN RAMÓN;2
23;GRECIA;2
24;SAN MATEO;2
25;ATENAS;2
26;NARANJO;2
27;PALMARES;2
28;POÁS;2
29;OROTINA;2
30;SAN CARLOS;2
31;ZARCERO;2
32;VALVERDE VEGA;2
33;UPALA;2
34;LOS CHILES;2
35;GUATUSO;2
36;CARTAGO;3
37;PARAÍSO;3
38;LA UNIÓN;3
39;JIMÉNEZ;3
40;TURRIALBA;3
41;ALVARADO;3
42;OREAMUNO;3
43;EL GUARCO;3
44;HEREDIA;4
45;BARVA;4
46;SANTO DOMINGO;4
47;SANTA BÁRBARA;4
48;SAN RAFAÉL;4
49;SAN ISIDRO;4
50;BELÉN;4
51;FLORES;4
52;SAN PABLO;4
53;SARAPIQUÍ;4
54;LIBERIA;5
55;NICOYA;5
56;SANTA CRUZ;5
57;BAGACES;5
58;CARRILLO;5
59;CAÑAS;5
60;ABANGÁRES;5
61;TILARÁN;5
62;NANDAYURE;5
63;LA CRUZ;5
64;HOJANCHA;5
65;PUNTARENAS;6
66;ESPARZA;6
67;BUENOS AIRES;6
68;MONTES DE ORO;6
69;OSA;6
70;AGUIRRE;6
71;GOLFITO;6
72;COTO BRUS;6
73;PARRITA;6
74;CORREDORES;6
75;GARABITO;6
76;LIMÓN;7
77;POCOCÍ;7
78;SIQUIRRES;7
79;TALAMANCA;7
80;MATINA;7
81;GUÁCIMO;7
82;BOQUETES;10
83;CHANGUINOLA;14
84;SANTIAGO;15
85;BUGABA;10
86;SÉBACO DE LA ASUNCIÓN;16
87;LAS CHOAPAS;21
88;RIO CUARTO;2
